1826 3332491, [61, 54631]
1827 3336143, [1567, 2129]
1830 3347111, [787, 4253]
1831 3350771, [47, 71293]
1833 3358097, [83, 40459]
1834 3361763, [499, 6737]
1835 3365431, [61, 55171]
1836 3369101, [47, 97, 739]
1838 3376447, [1021, 3307]
1841 3387481, [71, 47711]
1844 3398533, [131, 25943]
1845 3402221, [41, 82981]
1846 3405911, [41, 83071]
1848 3413297, [43, 79379]
1851 3424391, [43, 97, 821]
1852 3428093, [53, 71, 911]
1855 3439211, [397, 8663]
1857 3446633, [1031, 3343]
1859 3454063, [53, 65171]
1860 3457781, [739, 4679]
1861 3461501, [677, 5113]
1862 3465223, [313, 11071]
1863 3468947, [1123, 3089]
1865 3476401, [461, 7541]
1874 3510043, [1493, 2351]
1875 3513791, [163, 21557]
1878 3525047, [47, 179, 419]
1881 3536321, [1571, 2251]
1882 3540083, [179, 19777]
1883 3543847, [47, 75401]
1885 3551381, [709, 5009]
1886 3555151, [41, 86711]
1887 3558923, [41, 61, 1423]
1888 3562697, [199, 17903]
1890 3570251, [1847, 1933]
1891 3574031, [43, 83117]
1892 3577813, [173, 20681]
1894 3585383, [43, 199, 419]
1895 3589171, [313, 11467]
1896 3592961, [61, 58901]
1897 3596753, [383, 9391]
1899 3604343, [641, 5623]
1900 3608141, [439, 8219]
1903 3619547, [83, 43609]
1905 3627161, [53, 68437]
1907 3634783, [409, 8887]
1908 3638597, [1093, 3329]
1909 3642413, [1061, 3433]
1912 3653873, [53, 71, 971]
1913 3657697, [113, 32369]
1914 3661523, [523, 7001]
1915 3665351, [173, 21187]
1916 3669181, [83, 44207]
1919 3680683, [577, 6379]
1920 3684521, [167, 22063]
1922 3692203, [167, 22109]
1923 3696047, [71, 52057]
1925 3703741, [47, 78803]
1926 3707591, [227, 16333]
1927 3711443, [41, 90523]
1928 3715297, [41, 90617]
1930 3723011, [47, 113, 701]
1933 3734597, [97, 38501]
1934 3738463, [43, 227, 383]
1937 3750073, [43, 87211]
1942 3769463, [829, 4547]
1943 3773347, [1663, 2269]
1948 3792797, [61, 97, 641]
1952 3808393, [281, 13553]
1953 3812297, [151, 25247]
1956 3824021, [131, 29191]
1957 3827933, [61, 62753]
1958 3831847, [53, 197, 367]
1961 3843601, [563, 6827]
1962 3847523, [1319, 2917]
1963 3851447, [1399, 2753]
1964 3855373, [1229, 3137]
1965 3859301, [53, 72817]
1966 3863231, [1091, 3541]
1968 3871097, [41, 263, 359]
1969 3875033, [41, 94513]
1970 3878971, [877, 4423]
1972 3886853, [47, 82699]
1973 3890797, [971, 4007]
1974 3894743, [151, 25793]
1975 3898691, [131, 29761]
1977 3906593, [43, 47, 1933]
1978 3910547, [263, 14869]
1980 3918461, [43, 91127]
1981 3922421, [563, 6967]
1982 3926383, [359, 10937]
1983 3930347, [71, 197, 281]
1984 3934313, [457, 8609]
1986 3942251, [83, 47497]
1989 3954173, [373, 10601]
1990 3958151, [307, 12893]
1991 3962131, [503, 7877]
1994 3974083, [71, 223, 251]
1996 3982061, [1319, 3019]
1997 3986053, [1489, 2677]
1999 3994043, [83, 48121]
2002 4006043, [307, 13049]
2008 4030097, [1723, 2339]
